incoming,your_reply
<Media omitted>,Bro tomorrow classes won't be there right
No,OK bro
Anything important happened in today's class?,Nothing much
*Classes,Tomorrow C ma'am will be giving some kind of test
Based on?,mcqs of 10 questions
Okay.,Like maths google form was there right
Are we supposed to bring a book for the test?,"She asked to buy an yellow book,  which is available in that book shop in parking"
DS? Anything about it?,OK bro
So just 3 periods?,And C just conditional statementa
I know that's why I didn't ask 😆,She took 2hrs
I was just going through the basics of C.,OK bro
Just for conditional statements?,Why did you take leave
Got it.,Maths ma'am took one hour
"I have my pu text book, it has html and DBMS. It might be helpful for the project.",OK bro bring it then
Okay will do.,Ok
*informations.,Oh no bro nothing like that
"I have the web lab, tomorrow. Anything ma'am given for the labs?",OK bro
Will you?,Yeah bro
Which one?,Haha not even a % interested
Are you referring to the one I'm studying?,List of progrms
Where is it?,But for reference
I don't have anything related to C.,Teachers use to put marks and all no
You meant the observation book's index?,Yaa
Is it alright?,Yeah bro perfect
Hi bro,Yes bro
What did you do there?,No bro actually you have to write 10 programs and execute that
Which 10?,Last week we wrote some 10 programs and need to execute
<Media omitted>,Some random programs bro
Last wed was leave I think.,OK then 20 programs should be there in your observation
When did she told?,Including this
Okkk.,Last week bro in lab
Oh,Yeah yeah
I'm writing now,Oh OK bro
Thank you,Where are you bro
Home,OK bro
No,OK bro
Bro you took yellow book?,Yes bro
How much?,20
Okk,OK bro
Is it yellow or blue book?,Yellow
Ok then i need to buy in college only,Where are you bro
Near metro mantri,OK bro
Class rooms too,Oh OK bro
They will,OK bro
Vidya ma'am said if you want you can come.,OK bro
She said jokingly if you want you can come,Happy OK bro
If yes send me,OK bro I will send now
"Label, text box, radio button, check box",OK bro
And others.....,OK bro got it
You have web lab on Monday.,OK send that one
"I have scribbled it, so if you don't understand anything ask me.",OK
<Media omitted>,It's OK I can understand
"I have written very little ones, like mentioning the topic. So you might want to look into the internet for more, if you want.",OK bro
"Like input, text box, label. I think you must know all these.",Yaa yeah I know these ones... I can write bro
Hi bro completed maths assignment?,Oh no bro I forgot
When are we supposed to show it?,When we need to submit that one
Haha,Don't know bro
Ok,Oh 😀ok
Ma'am there is a test for DS tomorrow but there is no DS class. Will she take Tuesday then?,"Maybe, even I don't know"
Even c is on Tuesday,Yeah
Maths?,Yes
I will check tomorrow with the help chatgpt,OK bro... I will try a bit today and I will complete it by tomorrow
Is it easy? Like small ones or all big ones and need to know to solve it?,Oh OK DS Test won't be there I think.
Hmmm,I didn't see the questions only bro I will check nkw
Okky,Bro add me in DS group
No option,OK bro
Why you weren't added?,"No,  I am not there in the group"
Which group?,Tomorrow which lab do you have?
C,Ok
*added,Don't know bro
"Message Sachin, he is the admin",OK bro I will do
Are you in the others too?,"Yeah I am there,  except DS"
Okay then you can ask him.,OK bro I will do
Hi bro any updates?,"No tests, only normal classes bro"
Anything else?,Nothing bro
And anything important for tomorrow?,"She did only 25-30 mins like frames, frameset concepts"
What's this? Did they go this far?,From next class she will begin CSS
"Oh yes, she did say that last week.","No bro,  she asked how to apply style to every single alphabet in a  word like that"
She took classes today?,I will send you those after reaching home
So tomorrow which tests are there?,Maybe DS and C
How can you sure of it?,"Because projector is needed,  and a big class for all sections right"
"Oh yes, that's right.",Yeah
Need to buy one tomorrow,Yes
Maybe there is still time.,Yeah
So you completed?,Not even started bro
If you want we can do it that way.,Yeah bro definitely
Pick a time.,Anytime tomorrow.
Ok.,And I tried that weather application
Oo,I have incorporated API  and it is fetching the weather data
Great 😃,Nothing Like that bro
It's okay. We will see.,"Ya even today he asked,  so I gave him the idea regarding that"
Great 👍🏻,😊
Read a book and slept 💤,Ha nice
So much 🤯,Yeah
Is there any chance this will come for tomorrow's test?,Not at all
Then okay 👍🏻,Just basics they may give bro.
Is it MCQ?,Maybe yes
Then I shouldn't get worried 😅,Ha yes
😅,"Oh OK bro, then just wtite the things I sent you will get an idea about the concept"
Okay.,OK bro
Hi bro tomorrow classes at 1:00 right?,Yes bro
"I have doubts in DS, i want to clarify it.",12:40 bro
Okay.,At what time you will cone
I will try to come at 12:40,OK bro
I still need to buy yellow book,OK bro
Link road,Are you in metro?
Going towards mantri,OK bro
Not yet,OK bro
I'm in metro station,Mantri metro station or national college
"It would take another 20 minutes bro, i will be late only.",OK bro come come
Can you share me sridhar's number?,Shridhar BIT.vcf (file attached)
So whether we should do that in the lab or not i need to ask.,When bro
03/01/2025,OK bro
Bro there is going to be no induction programme today right?,I think no bro
Okk.,Haha 😂 but you have lab right
I hope ma'am didn't lie about it thinking we wouldn't come.,"No no,  if it was there means hod would have informed in group"
"He didn't reply, didn't come online yet.",Who?
Shridhar,Ok
Already written 20 programs asking chatgpt again it's showing the older ones only,OK bro... I think they need just 10 programs that's it... They won't specify anything
How many you guys are completed in the DSA lab? Or observation book?,Haha 😂
Haven't written 10 again.,30 bro
Executed all?,I think you should write 10 bro
She checked?,Ha yes
Can you send me the index if you have? I'm getting the same programs,"Yeah,  they are not specific about the programs,  they are specific about the numbers bro 😂"
🤦🏻,We have wrote just sample programs bro
Hmmm,But I repeated some programs from the previous sessions
There are many right,Hmm ok
Bye bro gotta go then,Copy the C programs in DSA bro
Sure,Hi bro
Hi,Any update in DS group
Nothing yet.,OK bro
Which one?,Stack concept
Wait........,Ok
That's all,OK bro thanks
welcome 🤗,Bro any updates in DS group
Nothing bro,ok
Bro wrote DS assignments?,Assignments?
Not done?,Yeah
Let's see,Sure bro
Bro solved aptitude?,"Bro I am doing some leetcode now,  I will solve by today night?"
Tried getting into but feeling bored from it 😅,Haha ok
I can't study anything in the evenings or at night only in the morning,Haha OK bro
Anyway it's not useful for me.,Why bro
Warm up for? 😅,Yes that is also correct
I tried few with chatgpt fuck everything has some formula to solve. I can't remember any of them.,Maybe for your future interview aptitude rounds
"I won't be having any aptitude rounds in Linux bro. Direct interview with a good resume. Aptitude is used on campus only, when they are taking a huge chunk of students. To filter it. Off campus they won't ask for it.",Oh OK understood bro
It's one of the reasons why I chose the Linux domain. I can't keep up with maths shit anymore 😅,Haha 😂😂 Ok
Will you attend tomorrow's classes?,Oh OK
Test confirmed?,I will try to leave after the placement training
Think in Boolean. Like me.,No not tomorrow
Oh yes i remember now then it's ok.,Yaa
🤣,Haha Yes or No like that should take holiday for the whole day or
"Yes. I'm coming to placement training tomorrow, this is confirmed. Like that. 🤣",Need to come for whole day
Alright then!,Ha OK bro
I won't miss OS 😅,Haha OK bro come come
Maybe I should ask Sharath sir to my mentor 😅,"Ha yes bro better ask him to change, then you will get some kind of benefit"
"Hmm yeah, others don't really understand fully what I'm trying to do. He might get it.",Yeah yaa 100%
You guys need to hurry out. Contact that senior and get as much info as you want. 2nd semester is only 3-4 months away.,Yeah bro I found myself a path to DSA but for project I need some guidance
Maybe mentor can help,My cousin is also doing a project. Let me see if he can help me out
On? Which project?,He took Java as the core language
Alright.,Hmm yes bro
If you are going through the same thing then you should get help from him also. Take help from all sides. Time is less so you can't work alone.,"Let them cope up with the basics,  then we may start"
What is shridhar doing? I know varun is trying with html along with C.,"Don't know bro, that guy is making fun of everything"
"Yeah 😂 that's true He said all about that crypto, IOT, block currency, cyber security and others but don't know what he is working on?",Even I am learning react and brushing up javascript
Great 😃,100% yes
Hmm.,"OK bro if possible you also join bro,  u can have this on the other side"
If it's within my hand I would definitely join.,OK bro
"Back in 2022 when I was working. I regret not working on this. If I had, i would be ready to get into the job I needed.",Oh OK nice nice
😔,Oh!
"Ok bro you might be busy, I will leave you with your work.",Haha ok
"Okk, get your sleep then.",OK bro bye
Bye,Hi bro Have you solved the paper?
😅,Coming bro 😀
Okk.,OK bro
Important,Google form right
"Yes, answer it.",Ha submitted bro
The one they sent in group?,Both bro programs and compiler
"I talked with the OS sir today, and told him about my project. He said if needed any help. Also there are some people in college who know Linux, even, they would help if needed. And to start from now only, he said.",Hah
He said no need to change mentors. As he will be there to help if needed.,Ha OK bro nice then
How was the training?,Ovv
Oh got it now 😀,OK bro
And are you coming tomorrow?,OK bro
Okk.,Bro I am outside....i will reach home by 1 hour
Send me later only.,Yeah
If it isn't do I need to do it? Or continue with tomorrow's programs?,No bro not labset prgms
Alright then.,ok
I don't remember fully.,Ok
I have written shortcuts as  they are simple concepts. Even you may remember these concepts.,OK bro
"So hop me in if you do anything in C. Any way we might have to do some small C projects this semester. Along with it C helps me to dive deeper into Linux, it helps to write code for drivers and kernels. So I need to learn it. So that's why I decided to learn.",OK bro
How is your project going on?,"In this semester we have to do some projects in c, OK bro we will do that"
Yeh.,"Now I am focusing on web development bro. I am learning react js and mongo do for that,  it takes like 2 weeks from now. Then I will be starting the project from scratch"
I was working on automation today. But the whole day went to it only 😅,Automation means?
You mean web development?,Oh OK bro nice
"It's unfortunate, you have to work for college projects also and work related too. While time is limited.",I have took some topics for project like  1.Augmented reality. 2. And a clone like Netflix
"I have done a very simple one like the netflix, using a simple html and css and Linux server, I hosted it and was able to watch it on mobile and TV browsers.",And some more ideas I am fetching
Doing a clone of Netflix is fine I guess.,Hmm nice bro
"It was Linux oriented, so it was a very simple one and basic use of html and css 😅 nothing classy. <This message was edited>",Yeah with some good UI and db with some additional functionalities
"When you do it add me in too, i will mean designing for it maybe css and bootstrap. Also I too need to learn db.",Sure bro for front-end design will be using react and some css too. We will collab and will do
Just state me the date when it's time. I too shall join the project.,Yes bro
Ok.,Duration maybe we can completely within 2 weeks if we are actively in
We will finish as fast as we can if there are no hurdles from the college.,Sure bro ok
Yes.,OK bro
Is the port necessary to run locally?,Let me try
Have you tried restarting the system?,I tried afternoon and restarted just before 10 mins not working
I think port has issues,OK bro
Vite's default port is 5173 which spells VITE if you think about it. Notice the commit branch was named 'vite-port-riddle'.  Is the 5173 correct port?,Yes yes correct
Are you using a live server environment?,"For 3000 port number, I have to use another command and install the node packages again and I am doing it now"
Try,Ok
Worked?,No bro
That's the limit of my knowledge. Couldn't help 😞,"OK bro,  I will try again"
Got it now?,Nope
Same error?,Yes
So what are you going to do?,Let me try some other ways
Ok inform if you succeed.,Sure bro
you are not in OS group?,I am there bro
ok you are not in DS right?,Yeah not in DS
this is for C1 and C3 <This message was edited>,OK bro
No leave tomorrow right?,No bro But I won't be coming
Why? Tomorrow also festival?,Yeah bro for us jallikatu is there
Ok then.,And non veg function tio
Got it. 👍🏻,OK bro
Got it?,OK bro
